source,label,window_id,compressibility_score
test-normal,1,70,2.4160401002506267
test-normal,1,71,2.4358974358974357
test-normal,1,72,2.4464285714285716
test-normal,1,73,2.4441624365482233
test-normal,1,74,2.466666666666667
test-normal,1,75,2.501291989664083
test-normal,1,76,2.4064837905236907
test-normal,1,77,2.4728682170542635
test-normal,1,78,2.430379746835443
test-normal,1,79,2.4347826086956523
test-normal,1,80,2.380952380952381
test-normal,1,81,2.4668367346938775
test-normal,1,82,2.446700507614213
test-normal,1,83,2.4585492227979273
test-normal,1,84,2.4580152671755724
test-normal,1,85,2.433333333333333
test-normal,1,86,2.48586118251928
test-normal,1,87,2.437974683544304
test-normal,1,88,2.404040404040404
test-normal,1,89,2.4742268041237114
test-normal,1,90,2.466494845360825
test-normal,1,91,2.446969696969697
test-normal,1,92,2.484536082474227
