source,label,window_id,compressibility_score
Fuzzy,1,29,2.0618729096989967
Fuzzy,1,30,2.0416666666666665
Fuzzy,1,31,2.0195758564437196
Fuzzy,1,32,2.045901639344262
Fuzzy,1,33,2.0357142857142856
Fuzzy,1,34,2.046434494195688
Fuzzy,1,35,2.036065573770492
Fuzzy,1,36,2.0413907284768213
Fuzzy,1,37,2.0316666666666667
Fuzzy,1,38,2.0584307178631054
Fuzzy,1,39,2.0198347107438015
Fuzzy,1,40,2.0657672849915683
Fuzzy,1,41,2.0264026402640263
Fuzzy,1,42,2.0445544554455446
Fuzzy,1,43,2.0313014827018123
Fuzzy,1,44,2.0505050505050506
Fuzzy,1,45,2.0692567567567566
Fuzzy,1,46,2.0621848739495796
Fuzzy,1,47,2.049916805324459
Fuzzy,1,48,2.01453957996769
Fuzzy,1,49,2.0208333333333335
Fuzzy,1,50,2.033003300330033
Fuzzy,1,51,2.0483333333333333
Fuzzy,1,52,2.0349417637271214
Fuzzy,1,53,2.0542372881355933
Fuzzy,1,54,2.0281456953642385
Fuzzy,1,55,2.0408496732026142
Fuzzy,1,56,2.0652173913043477
Fuzzy,1,57,2.0613598673300166
Fuzzy,1,58,2.0850340136054424
Fuzzy,1,59,2.028380634390651
Fuzzy,1,60,2.0504201680672267
Fuzzy,1,61,2.0592216582064298
Fuzzy,1,62,2.033500837520938
Fuzzy,1,63,2.045075125208681
Fuzzy,1,64,2.0652173913043477
Fuzzy,1,65,2.0295081967213116
Fuzzy,1,66,2.0700854700854703
Fuzzy,1,67,2.0334448160535117
Fuzzy,1,68,2.026272577996716
Fuzzy,1,69,2.0163132137030995
Fuzzy,1,70,2.049342105263158
Fuzzy,1,71,2.0475409836065572
Fuzzy,1,72,2.057046979865772
Fuzzy,1,73,2.049342105263158
Fuzzy,1,74,2.0508196721311474
Fuzzy,1,75,2.0752136752136754
Fuzzy,1,76,2.029220779220779
Fuzzy,1,77,2.0616666666666665
Fuzzy,1,78,2.0359477124183005
Fuzzy,1,79,2.037704918032787
Fuzzy,1,80,2.056951423785595
Fuzzy,1,81,2.0492359932088284
Fuzzy,1,82,2.0162074554294978
Fuzzy,1,83,2.0519262981574538
Fuzzy,1,84,2.043831168831169
Fuzzy,1,85,2.080808080808081
Fuzzy,1,86,2.039538714991763
Fuzzy,1,87,2.067001675041876
Fuzzy,1,88,2.067911714770798
Fuzzy,1,89,2.0279605263157894
Fuzzy,1,90,2.0428816466552315
Fuzzy,1,91,2.0552763819095476
Fuzzy,1,92,2.0620805369127515
Fuzzy,1,93,2.0146341463414634
Fuzzy,1,94,2.087328767123288
Fuzzy,1,95,2.048494983277592
Fuzzy,1,96,2.042158516020236
Fuzzy,1,97,2.05324459234609
Fuzzy,1,98,2.03801652892562
Fuzzy,1,99,2.0308943089430893
